	author	comment
774	John O'Connor	Number 1 the day we flew into Royal Air Force Germany December 1979 Dudi Dench brother in law picked us up
775	Claudio frontera sin limites	Nacer de nuevo nosé És posible no sabemos lo que si sabemos es qe no cuidamos a nuestros creador real el planeta ni dio ni j+ cuidemos a quien nos dio vida rompiendo con lo de miro aber qe hace el otro y vos para cuando despertar 👁️👁️🇦🇷🖤❤️
776	Merde Films	I can still remember when I was listening to shine on your crazy diamond and suddenly my dad came into my room, he was like “wait, do you listen to pink floyd?” the next day he came up to me with big speakers and played this song as loud as possible
777	Женя Алексеев	спасибо
778	mrs w	They have been warning us for decades.
779	Ivan Zoraja	Nice ...
780	Eric Armstrong	This has and is coming to schools in America
781	lobster	When I graduate, I want THIS song to be played. Not other songs. This one.
782	BTS- Jhope Loveee💜	very gud
783	Joshua Noel Gorgonio	2:20 Number 123 Pink Floyd Another Brick In The Wall Pt.2 Remastered 2011
784	Wayne Collimore	Over half a billion views
785	byjikah	ахиреть. 549млн просмотров 😱
786	Stephie McManus	Roger Waters is a very controversial musician but he is an amazing lyricist and bass player.
787	Gary Ball	And I hope people at the South of the border can understand
788	두석 전	성령을 경험하신 오랬동안 지금의 총리와 함께 축하드립니다. 오랜 세월동안 성령님 의 성공을요 지구촌 어느곳에 있는 지독한 작은자가 영국에게 아맨파
789	Richard Bentley	My toughest teacher's my best 👍
790	Nancy Romero	Prophetic.... teachers. Leave the kids alone...
791	Robert Ramsey-Turner	"I love this song, I play it often and always loud, it really is a powerful statement of oppression in the classroom. I'm now in my 80""s, however my last day at school in Lincoln, in the UK, I stole every cane I could find in the school and laid them on the rail tracks which ran past the school. Word must have passed round, so when the next train came rumbling through, it destroyed all the canes. The school erupted with cheers which went on and on. Teachers quickly rushed around asking what was going on? Eventually some bloody do-gooder told them what and who. When I saw them coming for me, I did a runner and managed to get away. Perhaps I was one of the bricks that didn't quite fit the wall."
792	Susan Dever	Idk why but this is not what my school is nothing like the video but I feel like that was what is was like in the late 70s and early 80s lol
793	Masood Amirshahpari	این آهنگ خیلی معروف پینک فلوید در دهه هشتاد بود، که بهنام والز. که اخیراً با اجرای جدید در رابطه با خیزش عمومی ایران پخش شده است.
794	Michelle Bultema	Gerbil!!
795	Richard Bentley	My toughest teacher's my best 👍
796	Rural Escapes Portugal	This came out when I was 11. It made sense then and it makes even more sense now.
797	Leonello Onnis	Buongiorno a tutti gli amici..💪🍻
798	Олександр Зайцев	Пинкфлойд энималс
799	Sherell Hill	Cool group cuss. SHERELL ☺.
800	Emmalee	pink floyd has to be one of the best musical groups ever to exist
801	BrickTactical	ANYONE STILL JAMMING TO THIS IN 2016!
802	Reginaldo Conceicao	Para mim um dos clipes mais emblemáticos que uma banda poderia fazer. Muito forte.
803	Mazzy Star	My favorite band in the entire world 🌎 Love them so much ❤️
804	Valeria Santana	Está película al igual que el disco, son unas verdaderas obras maestras. Grande pink Floyd.
805	khairuladha _	This song was made when the music world was still sane, it makes my ears happy to hear it.
806	Maureen Santiago	They will always be the greatest band ever.
807	Val s	Out Fascim!! Rogers Waters the best!!! Brazil 2018!!
808	andrea caparrini	one of the best songs of all time !!!
809	Zoltánné Fodor	Szeretném meghallgatni Ruttkai Éva és Latinovits Zoltán előadásában. Hol van az a nyár című dalukat, ha lehet!
810	Владислав Терещенко	люди будте людми а не животныим под властью когото)))))
811	Masood Amirshahpari	آهنگ خیلی معروف پینک در دهه ۸۰ که اخیراً در رابطه خیزش اخیر ایران با اجرای جدید پخش شده
812	Jose Vanilso	🇧🇷👂
813	Elizabeth Bass	This was at my sister school
814	Richard Bentley	My toughest teacher's my best 👍❣️👋
815	José Santos	Atacar em Legítima Defesa não é Crime é licito
816	Стечкин Павел	Инстинкты : вот и жрите этот фарш..
817	Юрій Данилейко	Далеко глыбако борис джонсон первой проффэшн Туалетофф поглыбчее поглыбчее дай алавится. Дашко никткитоска прекрати рэготать як прыдурошна Визмэмь краску Тише едешь дальше будеш от того места куда едешь? Покрасим у красный цвет Песню запевай Буду жоной ЙОГА
818	T	❤DONALD MARSHALL🙏
819	Filipe Batista	And this song its só actual
820	Сергей Левин	достойно
821	Алексей Гуляев	Лучше
822	Marcos Ferreira	Fantástico clipe!!! 👏👏👏Analogia ao que chamamos de alienação das massas, bem como expressa a questão educação/opressão/liberdade!!!!!!
823	Agata Capozzi	Cara amica,so che mi ascolterai manchi e ti voglio bene ,manca il tuo rasserenarmi so che mi vuoi bene.Il bene che provo per te è immenso e so che tutto cambia ma io ti voglio bene so che sei di poche di parole il troppo ti imbarazza ti dà fastidio sei pragmatica lo noto nelle risposte che dai ma io ho bisogno di dirti che ti voglio bene capisco il tuo imbarazzo,e cerco di adeguarmi ti voglio bene io non so se lo leggerai ma ti prego fatti voler bene fatti amare in modo giusto sano tvb 🤗 e manchi da morire 🥰❤️🤗😞👼💋🎁🎁🎁🎁sei un dono tvb👼dal cuore grande.sei preziosamente bella ❤️🤗🎁
824	Nikola	Has anyone else noticed those weird subtitles that sometimes appear?
825	Mishikiari •-•	Algum BR em 2022?
826	Bingus Dingus	Probably the last time London was ever that white lmao
827	Manal Salah	🌹
828	Jose Franco	LAISTORIA VIVA ENLAMUSICA
829	terezamaga	I am back because this is very funny e pure realitty.
830	Michael Weston	"Now it's, ""go eat your bugs and get your shot. Bow down to the alphabet gang"". We used to be independent thinkers. Not sheep."
831	Amber	I have goosebumps. Can’t believe I am just now making the connections in the song. I’m 27 and it’s scary how accurate this song is!
832	Juliocesar Azuaracamargo	Con letra
833	Serpent77	The subtitles on this video are... interesting 🤣😂🤣😂
834	the anonimo e	Algún español viendo esto??
835	Nelci de Oliveira	Eles estavam errados?
836	Anazec1	I remember my dad used to play this (he still does including other Pink Floyd songs). I'm thirteen now and I'm so glad that he introduced me to good music.
837	encar8	🤟🤟🤟🤟
838	Josephine Stabel	It's against Dictators... 🌍 🕊️
839	victor troshka	Take off the masks!
840	Ivan Bro	This song is pretty catchy but doesn’t mean its got the right message This song is why the world is so decadent now a days
841	Alexandr Pasko	ALL THE KILLER WILL BE PUNISHED! AND SWIM IN THE BLOOD
842	kele harvey	Those poor kids dont know if they are boys or girls anymore
843	L'aimant Salmic	I fucking hate school but i wanna learn something too
844	Abiud Martínez garcia	Cómo que me suena a ramstein.
845	Игорь Щербак	А мне нравится все у Пинк Флойда. Нету у них не любимых мною песен.
846	Олександр	Klas
847	jaum m8	Very appealing to class guilt ridden rich people
848	tiesergrote	wow the beginning is so weird and scary
849	Nathalie Hape	My Frist Pink floyd song
850	SB CR	Honestly, wouldn't piss like that! NuNuNu! Something's is eternally satisfying
851	Ken Cook	So true mow days
852	Edilson Macedo	🇧🇷 2022
853	Edilene Maia	Bizarro!
854	Rock&Roll Fan	I think the most important thing from this video is... that you should always eat your meat or else you can't have any pudding.
855	smug boogiepop	We're all here before a billion views
856	Katherine Purihuaman Gutierrez	Como se llama la película?
857	Sándor Hegedűs	A diktátor ellen küzdő néhány ezer embernek küldöm ezt a klipet! Sose felejtsétek el honnan jöttetek!
858	Paulo Oliveira	Meus amigos não vote nos policos brasileiros
859	John Dilinger	For me this song is about eating your meat before you eat your pudding
860	Hordé Jean-Marie	que pour les bonnes années rock pas pour les débilles des musiques pourris des années 2022
861	The Squeegee	Still chilling and relevant almost 40 years later.
862	Stephen Chellgren	Let's get stoned,to the**Wall**
863	Сергей Владимирович Шлыков	ВОТ ЧТО ОЖИДАЕТ ВАС АНГЛОСАКСЫ !!!!!!!!!!!!!!!
864	GeorgesAbb	Je suis le commentaire Fr tqt frrot on écoute tjrs cette masterclass
865	Registered User	Как скопировать название трека на андроиде?, То есть добавить в буфер обмена, и так далее...
866	Marta Rodrigues	Apenas acho certo cm regime militar
867	daryl thomas	Franchet pearson u are a genius......
868	Edileia Machado	Ai simmm
869	richard steilen	Welcome to the machine
870	Cnw#8701	Ah, yes... my mom used to play this on the drive to school every morning!
871	Ольга Петрухина	Вся Россия и самое страшное, система. Против сложно. И страшно. Тюрьма или психушка😂🤔😂
872	Peter Rocc	I tell you, Nay: but, except ye repent, ye shall all likewise perish. (Luke 13:5) Have mercy upon me, O God, according to thy lovingkindness: according unto the multitude of thy tender mercies blot out my transgressions. Wash me throughly from mine iniquity, and cleanse me from my sin. For I acknowledge my transgressions: and my sin is ever before me. Against thee, thee only, have I sinned, and done this evil in thy sight: that thou mightest be justified when thou speakest, and be clear when thou judgest. (Psalms 51:1-4)
873	Rumen Atanasov	Всички учители излизат с навирени носове...и се прибират с наведени
